acao,tiny_id,tiny_codigo,tiny_nome,tipo,preco_tiny,preco_novo,custo_novo,sku_planilha,aba
alterar,334772863,,Bomba Hidráulica Ford New Holland CNH A-001 - 5600/6600/7600,P,2533.94,2660.47,1585.25,5.1301.0565001.0,02_SOHIPREN
alterar,334772895,,Bomba Hidráulica Principal Ford New Holland CNH A-002 - 5610,P,2533.94,2660.47,1585.25,5.1301.0565002.0,02_SOHIPREN
alterar,334772050,,Bomba Hidráulica New Holland CNH A-024 - Série T6,P,3978.15,4176.8,2545.75,5.1301.0565035.0,02_SOHIPREN
alterar,334772430,,Bomba Hidráulica Direção e Levante John Deere A-004 - Série ,P,2898.19,3042.91,1827.5,5.1305.0565071.0,02_SOHIPREN
alterar,334772086,,Bomba Hidráulica Principal John Deere A-003 - Série 6000,P,1438.65,1510.48,856.8,5.1305.0565036.0,02_SOHIPREN
alterar,334772828,,Bomba Hidráulica Massey Ferguson MF A-004 - 4215/4220/4235/4,P,1920.47,2016.37,1177.25,5.1302.0547844.0,02_SOHIPREN
alterar,334772765,,Bomba Hidráulica Massey Ferguson MF A-013 - Direção e Levant,P,1977.99,2076.76,1215.5,5.1302.0547820.0,02_SOHIPREN
alterar,334772730,,Bomba Hidráulica Principal Valtra-Valmet 118ES/128/138/148,P,1850.18,1942.57,1130.5,5.0220.0547206.0,02_SOHIPREN
alterar,339174218,,GPS Agrícola GR200 - Greco Agro Tech | Navegação de Precisão,P,6309.11,6594.15,4100.0,GR141207,04_GRECO
alterar,339174244,,Kit de Iluminação Noturna Pulverização - Greco Agro Tech,P,1482.55,1500.84,890.0,GR141165,04_GRECO
alterar,339174263,,Kit Ponta de Cerca - Greco Agro Tech,P,1793.8,1830.32,1097.0,GR140990,04_GRECO
alterar,339174294,,Sensor de Levante Haste - Greco Agro Tech | Precision Planti,P,1031.47,977.63,590.0,GR140682,04_GRECO
alterar,339174307,,Sensor de Levante Corrente - Greco Agro Tech | Precision Pla,P,881.11,818.47,490.0,GR140012,04_GRECO
alterar,339174328,,Monitor de Fluxo de Sementes GR500 - Greco Agro Tech,P,11722.07,12217.59,7700.0,GR142398,04_GRECO
alterar,339174352,,"Sensor de Fluxo 25,4mm - Greco Agro Tech | Precision Plantin",P,580.39,500.13,290.0,GR142226,04_GRECO
