aba,linha,sku,sku_shopify,tipo,kit_n,caixa,peso_kg,invoice,cotacoes,escolhida,frete_antigo,frete_novo,obs
03_AGCO,20,ACX310603A,ACX310603A-KIT50,kit,50,30.0x14.0x20.0,3.0,226.5,Jadlog Jadlog Package: R$24.71 (8d) | Correios PAC: R$30.50 (7d) | Correios Sedex: R$60.61 (3d),Jadlog Jadlog Package,,24.71,
03_AGCO,21,4383923M4,4383923M4,unit,1,3.0x12.5x8.0,0.19,20.01,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package,18.5,16.74,
03_AGCO,22,ACX363311C,ACX363311C,rateio caixa 60,1,3.0x11.0x7.0,0.19,8.31,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$61.52/60,18.5,1.03,
03_AGCO,23,ACX363311C,ACX363311C-KIT60,kit,60,45.0x32.0x18.0,11.4,498.6,Jadlog Jadlog Package: R$61.52 (8d) | Correios PAC: R$85.49 (7d) | Correios Sedex: R$138.06 (3d),Jadlog Jadlog Package,,61.52,
03_AGCO,24,ACX363311B,ACX363311B,rateio caixa 60,1,3.0x10.0x7.0,0.19,8.31,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$61.52/60,18.5,1.03,
03_AGCO,25,ACX363311B,ACX363311B-KIT60,kit,60,45.0x32.0x18.0,11.4,498.6,Jadlog Jadlog Package: R$61.52 (8d) | Correios PAC: R$85.49 (7d) | Correios Sedex: R$138.06 (3d),Jadlog Jadlog Package,,61.52,
03_AGCO,26,ACX2414460,ACX2414460,rateio caixa 20,1,22.5x12.0x4.0,0.1,9.02,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$27.58/20,18.5,1.38,
03_AGCO,27,ACX2414460,ACX2414460-KIT20,kit,20,25.0x25.0x45.0,2.0,180.39999999999998,Jadlog Jadlog Package: R$27.58 (8d) | Correios PAC: R$40.96 (7d) | Correios Sedex: R$79.84 (3d),Jadlog Jadlog Package,,27.58,
03_AGCO,28,ACX3371800,ACX3371800,rateio caixa 50,1,6.7x12.0x6.7,0.25,5.77,Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Jadlog Jadlog Package → R$63.83/50,18.5,1.28,
03_AGCO,29,ACX3371800,ACX3371800-KIT50,kit,50,40.0x25.0x40.0,12.5,288.5,Jadlog Jadlog Package: R$63.83 (8d) | Correios PAC: R$93.98 (7d) | Correios Sedex: R$151.78 (3d),Jadlog Jadlog Package,,63.83,
03_AGCO,30,7038105M1,7038105M1,rateio caixa 60,1,8.5x10.0x4.0,0.1,3.94,Correios Mini Envios: R$14.87 (10d) | Jadlog Jadlog Package: R$16.74 (8d) | Correios PAC: R$18.95 (7d) | Correios Sedex: R$38.41 (3d),Correios Mini Envios → R$32.09/60,18.5,0.53,
