resultado,sku,detalhe
create-ok,6424-4005-KIT50,R$402.70 Acabamento Lateral Reservatorio de Sementes — Kit 
create-ok,6424-4026-KIT50,R$404.39 Conexao Mangueira Sementes — Kit 50 Unidades — Sta
create-ok,6117-4142-KIT50,R$166.73 Bucha do Mancal Pantografico — Kit 50 Unidades — S
create-ok,8031-4008-KIT10,R$444.32 Ponteira Bico — Kit 10 Unidades — Stara 8031-4008
create-ok,6424-4013-KIT25,R$548.64 Condutor Adubo Disco Duplo — Kit 25 Unidades — Sta
create-ok,IPCX03009065-KIT100,R$305.33 Giro Molinete 2 — Kit 100 Unidades — GTS IPCX03009
create-ok,IPCX03009064-KIT100,R$305.33 Giro Molinete 1 — Kit 100 Unidades — GTS IPCX03009
create-ok,IPCX05009034-KIT75,R$436.06 Rotula Molinete — Kit 75 Unidades — GTS IPCX050090
create-ok,IPCX03007010-KIT20,R$156.86 Dedo Molinete — Kit 20 Unidades — GTS IPCX03007010
create-ok,IPCX03007010-KIT50,R$348.72 Dedo Molinete — Kit 50 Unidades — GTS IPCX03007010
create-ok,IPCX03007010-KIT100,R$674.79 Dedo Molinete — Kit 100 Unidades — GTS IPCX0300701
create-ok,IPCX03006056-KIT60,R$414.87 Mancal Dedo Retrátil — Kit 60 Unidades — GTS IPCX0
create-ok,IPCX03006047-KIT50,R$365.37 Guia Dedo Retratil — Kit 50 Unidades — GTS IPCX030
