resultado,sku,detalhe
create-ok,ACW0551840-KIT25,R$448.31 Condutor Sementes P/sensor — Kit 25 Unidades — AGC
create-ok,ACX2865730-KIT60,R$1115.99 Tampa do Modulo SRM — Kit 60 Unidades — AGCO ACX28
create-ok,ACX2719210,R$23.57 CJ Montado Joelho — AGCO ACX2719210
create-ok,ACX2719210-KIT30,R$707.01 CJ Montado Joelho — Kit 30 Unidades — AGCO ACX2719
create-ok,4383927M4-KIT10,R$348.68 Dobradiça Esquerda Inferior — Kit 10 Unidades — AG
create-ok,ACX283890A-KIT10,R$350.75 Vedação Tubo de Ar — Kit 10 Unidades — AGCO ACX283
create-ok,ACX310603A-KIT50,R$396.58 Manipulo Pneumatico — Kit 50 Unidades — AGCO ACX31
create-ok,ACX363311C-KIT60,R$884.25 Copo Venturi C — Kit 60 Unidades — AGCO ACX363311C
create-ok,ACX363311B-KIT60,R$884.25 Copo Venturi B — Kit 60 Unidades — AGCO ACX363311B
create-ok,ACX2414460-KIT20,R$328.33 CJ Adaptador de Vacuo — Kit 20 Unidades — AGCO ACX
create-ok,ACX3371800-KIT50,R$556.22 Bocal Cotovelo Vacuo — Kit 50 Unidades — AGCO ACX3
create-ok,7038105M1-KIT60,R$423.86 Acoplamento do Condutor — Kit 60 Unidades — AGCO 7
create-ok,7038106M1-KIT60,R$423.86 Acoplamento da Curva — Kit 60 Unidades — AGCO 7038
create-ok,ACX5458940-KIT40,R$659.90 Proteção SRM — Kit 40 Unidades — AGCO ACX5458940
create-ok,ACX3601860-KIT60,R$971.19 Copo Venturi — Kit 60 Unidades — AGCO ACX3601860
create-ok,4383933M4-KIT10,R$348.68 Dobradiça Direita Superior — Kit 10 Unidades — AGC
create-ok,4383934M4-KIT10,R$348.68 Dobradiça Direita Inferior — Kit 10 Unidades — AGC
create-ok,ACX3473430-KIT40,R$386.15 Tampa Maior do Tubo — Kit 40 Unidades — AGCO ACX34
create-ok,33070004-KIT25,R$359.70 Condutor Reto — Kit 25 Unidades — AGCO 33070004
create-ok,6237989M1,R$45.72 Corpo Bico 1POL e Saídas — AGCO 6237989M1
create-ok,6237989M1-KIT10,R$457.20 Corpo Bico 1POL e Saídas — Kit 10 Unidades — AGCO 
create-ok,ACX363311C-KIT25,R$371.86 Copo Venturi C — Kit 25 Unidades — AGCO ACX363311C
create-ok,ACX363311B-KIT25,R$371.86 Copo Venturi B — Kit 25 Unidades — AGCO ACX363311B
create-ok,ACX3601860-KIT25,R$416.87 Copo Venturi — Kit 25 Unidades — AGCO ACX3601860
