resultado,sku,detalhe
update-ok,6424-4005,R$8.05
update-ok,6424-4005-KIT50,R$402.70
update-ok,8031-4009,R$419.51
update-ok,6424-4028,R$13.08
update-ok,6424-4026,R$8.09
update-ok,6424-4026-KIT50,R$404.39
update-ok,8031-4010,R$402.63
update-ok,6117-4142,R$3.34
update-ok,6117-4142-KIT50,R$166.73
update-ok,8031-4008,R$44.43
update-ok,8031-4008-KIT10,R$444.32
update-ok,6424-4013,R$21.95
update-ok,6424-4013-KIT25,R$548.64
update-ok,IPCX03009065,R$3.06
update-ok,IPCX03009065-KIT100,R$305.33
update-ok,IPCX03009064,R$3.06
update-ok,IPCX03009064-KIT100,R$305.33
update-ok,IPCX05009034,R$5.81
update-ok,IPCX05009034-KIT75,R$436.06
update-ok,IPCX03007010-KIT20,R$156.86
update-ok,IPCX03007010-KIT50,R$348.72
update-ok,IPCX03007010-KIT100,R$674.79
update-ok,IPCX03006056,R$6.92
update-ok,IPCX03006056-KIT60,R$414.87
update-ok,IPCX03006047,R$7.31
update-ok,IPCX03006047-KIT50,R$365.37
